#Contraste,#Energia,#Homogeneidad,#Momento_Hu1,#Momento_Hu2,#Momento_Hu3,#Momento_Hu4,#Momento_Hu5,#Momento_Hu6,#Momento_Hu7,#Media_Color_R,#Media_Color_G,#Media_Color_B,#Desv_Estandar_Color_R,#Desv_Estandar_Color_G,#Desv_Estandar_Color_B,#Clase
0.984903287,0.299326882,9.926655466,0.001456564,1.06E-07,1.73E-11,1.40E-11,1.58E-22,3.60E-15,-1.50E-22,126.0823593,122.3123539,159.4229455,23.33173307,61.09632635,29.75944203,3
0.933122674,0.400953066,9.355112083,0.001678388,1.28E-08,4.38E-11,1.85E-10,-1.17E-20,1.24E-14,-1.19E-20,138.6902242,96.36425903,116.4378892,63.73812925,60.9607871,58.59045228,1
0.944693585,0.384570073,9.889975772,0.002398616,1.18E-08,8.57E-10,2.62E-10,3.04E-20,-2.39E-14,-1.20E-19,140.0094072,74.93208763,92.04329897,66.55053726,62.71213402,56.08840988,1
0.958124175,0.406561407,10.15429988,0.002281299,1.02E-06,1.65E-10,1.93E-10,-1.57E-20,-4.27E-14,3.06E-20,139.6144861,77.8534703,92.87385931,62.87561538,61.01248177,57.79998159,1
0.857170997,0.31242483,10.04294816,0.001514775,1.98E-08,2.07E-10,1.50E-10,2.01E-20,2.66E-15,-1.70E-20,138.9227395,106.9520918,119.2646761,28.40078088,46.07569901,33.32316745,3
0.954624124,0.396026439,9.484019696,0.002226906,2.98E-06,8.39E-10,4.76E-10,2.42E-19,4.30E-13,1.78E-19,122.0522818,62.96854231,68.181214,61.97859633,59.28073073,57.42111726,1
0.979974294,0.342784436,9.749083028,0.001462009,1.48E-07,2.17E-11,5.05E-11,-5.19E-22,-1.84E-14,-1.59E-21,140.6393025,144.465063,157.235077,27.40136669,58.11313445,56.4682563,2
0.963123504,0.286508073,10.53174812,0.002785916,2.87E-08,2.34E-09,4.40E-10,-3.36E-19,-1.47E-14,-2.92E-19,145.14308,96.85536018,122.5521838,11.47642181,36.11870372,14.58563519,4
0.979397059,0.318498348,10.92283393,0.001406912,4.25E-08,1.65E-10,6.36E-12,2.06E-22,-1.18E-15,4.00E-26,135.2904774,108.9175074,137.2165354,35.15665725,71.80888451,56.8475099,2
0.963084604,0.267953247,10.79347187,0.001564904,5.40E-07,7.16E-11,5.28E-11,-1.08E-21,-3.46E-14,-3.06E-21,165.2936914,134.4474282,149.6167945,19.24414984,46.07065513,33.09789722,4
0.988015236,0.266567073,11.50618123,0.001383337,8.40E-08,7.91E-11,1.77E-11,-6.60E-22,2.51E-15,-4.07E-23,137.3462129,127.8380243,152.2214817,26.70148146,68.1572668,54.79453297,2
0.981104208,0.21402064,11.49465147,0.001890444,4.73E-07,8.19E-10,4.32E-10,2.54E-19,2.88E-13,-4.30E-20,107.7519032,102.9679875,127.7859653,39.29365033,48.15126539,48.71293856,2
0.972285556,0.283682508,10.66636005,0.00166734,3.17E-07,1.24E-10,1.45E-11,6.09E-22,-2.44E-15,-6.68E-23,143.8231911,124.4518553,128.0700371,25.68290474,43.79314466,39.68472707,4
0.985578946,0.31556368,9.682529258,0.001313909,1.27E-07,2.01E-11,4.44E-12,-3.96E-23,-8.08E-16,1.40E-23,133.8618538,130.214082,159.1181818,24.994944,60.34381866,32.61280613,3
0.872557046,0.234052749,10.66369149,0.002600716,7.04E-07,1.06E-11,6.45E-10,4.98E-20,-2.00E-13,-1.89E-20,117.8802139,86.96114082,121.7928699,43.36751601,57.19599092,48.36826443,1
0.952762878,0.36918067,9.761920467,0.001967781,2.43E-07,2.34E-10,1.09E-10,1.64E-20,-3.43E-14,-5.40E-21,95.29891304,74.51778656,111.1128458,55.49850868,67.97345506,66.86486071,3
0.973132116,0.265804582,10.34226018,0.002317952,1.19E-06,5.97E-10,2.68E-10,-8.49E-21,9.93E-14,1.07E-19,145.5694092,91.88111635,116.5313519,11.67813883,46.5607555,24.7215082,3
0.970122648,0.316584133,10.45920698,0.001208901,1.04E-08,1.26E-11,1.85E-11,-2.83E-22,1.23E-15,-1.06E-23,158.4058365,123.412689,150.3866966,12.78650373,40.44674244,18.78673258,4
0.962567821,0.562743395,7.210111215,0.033877271,8.76E-04,4.04E-05,6.14E-05,3.01E-09,1.82E-06,5.74E-10,86.52810811,44.41448649,57.14756757,72.90752765,41.4460781,54.54816624,2
0.972370757,0.254246234,11.0473371,0.001462479,5.98E-08,1.55E-10,7.64E-11,2.76E-21,1.55E-14,7.84E-21,153.6990814,103.5145708,128.6694647,17.87426723,45.48053213,32.30306472,4
0.97494749,0.289634803,10.74498547,0.00174974,8.58E-07,6.27E-10,2.37E-10,-2.19E-20,-3.61E-14,8.88E-20,163.883792,132.4555301,141.5197503,21.09110262,48.54187647,38.54895305,4
0.876996024,0.315039617,10.40743159,0.001646382,1.47E-07,3.40E-10,8.57E-11,-6.47E-21,-1.12E-14,1.31E-20,165.1519608,108.6535948,131.9626225,41.94793532,58.58469042,48.700717,1
0.977059803,0.296838233,10.37346084,0.001626809,2.93E-07,3.01E-11,6.63E-12,8.90E-23,3.50E-15,-2.92E-23,119.4779647,111.5022355,145.4907388,18.4993309,53.64132339,29.03596123,3
0.986655208,0.247975033,11.3133287,0.001753566,3.68E-07,7.56E-11,2.94E-10,-3.91E-20,1.70E-13,1.98E-20,132.8842033,109.2770604,146.3328297,15.91172154,65.58695697,41.96968188,3
0.97506001,0.184817009,11.86584866,0.001391999,1.04E-09,5.63E-10,4.85E-10,2.53E-19,-1.35E-14,3.89E-21,152.3843459,116.3692323,125.032229,14.83174952,45.4983558,40.52565926,2
0.938004583,0.343256305,9.681058028,0.003469422,2.44E-07,2.43E-09,8.56E-10,-6.62E-20,-4.05E-13,-1.23E-18,94.20434783,75.78362319,110.3321739,47.77019244,48.61964169,56.3954524,3
0.959710849,0.395408229,9.681842121,0.002746592,4.95E-06,2.11E-09,1.09E-09,1.53E-18,2.05E-12,-5.87E-19,123.1455466,55.13421053,63.09190283,60.42924117,58.24595696,53.0373451,1
0.934054097,0.393542836,9.673226028,0.002895191,7.79E-07,5.70E-09,2.12E-09,6.19E-18,1.24E-12,-4.05E-18,125.7292219,74.59891689,94.79365606,56.50314205,50.08643884,49.4200425,1
0.981101953,0.622103837,6.677352864,0.001023617,5.27E-08,2.90E-10,3.55E-11,-3.60E-21,-4.09E-15,1.55E-23,81.56780906,62.01554468,71.73953488,74.07417545,64.63146634,67.78218384,3
0.983422334,0.33282342,9.820638687,0.001733106,1.13E-06,3.41E-11,3.98E-11,-8.91E-22,-3.07E-14,-1.17E-21,122.5474464,119.0595968,159.4098478,8.808669684,23.48277317,25.59434803,3
0.978860421,0.298757348,10.12550829,0.001749912,6.87E-08,6.38E-10,1.18E-10,1.39E-20,1.46E-14,-2.94E-20,144.3920417,108.5179387,120.0880626,12.6961081,42.73745623,24.74639068,3
0.884787036,0.387492439,9.930948455,0.002028971,2.34E-07,4.26E-10,4.55E-10,3.34E-20,1.55E-13,-1.98E-19,148.2850328,98.25119261,113.8073942,48.68210532,52.26978622,45.1475933,1
0.96845208,0.334919303,9.828790159,0.001286907,1.99E-08,1.80E-11,5.30E-11,-9.68E-22,-4.31E-15,-1.32E-21,153.4396368,137.9585114,141.2592593,19.82700079,34.09974511,28.64813342,4
0.989318327,0.32779044,9.741969316,0.001420618,4.46E-08,2.91E-11,2.81E-11,6.07E-22,4.98E-15,-5.27E-22,119.8245614,117.4318609,150.7567356,25.41017988,61.44144211,32.15473829,3
0.950217955,0.473118354,8.79016996,0.002199699,1.95E-06,1.03E-08,2.02E-09,3.09E-18,3.38E-13,-8.64E-18,53.21354167,50.56788793,82.93516523,46.3225493,53.79756706,60.35912578,3
0.910643049,0.329188591,9.570216084,0.001432579,1.07E-07,7.36E-12,4.55E-11,6.41E-22,-1.97E-15,-5.32E-22,110.8659951,95.7008547,131.5363248,56.26502288,73.21125127,67.61343897,1
0.957678727,0.28930031,10.55236805,0.001234279,5.70E-09,1.41E-10,2.54E-12,3.76E-23,4.60E-17,-2.99E-23,154.3472527,138.5479853,144.3661783,18.69251355,31.33939354,26.90843432,4
0.89220073,0.301407289,9.449608336,0.001556281,1.30E-07,5.19E-10,2.53E-10,-7.84E-20,-9.11E-14,-4.72E-20,112.6630303,91.5389899,121.1931313,59.14552834,74.20233051,68.90474668,1
